label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C9,36.0807241,140.0807213,0,311.697263,28339.777047,44354.749095,-221.482635,0.000000000,0.000000000,-0.934523932,-0.355900296,2,2,0,0,1,390.949620170012,-253.808439008547,390.354764617141,-253.420653542384,52.8436121834314,0.710092033857732
C9-C101_1,36.0807277,140.0807163,0,311.697263,28339.325404,44355.147099,-221.483408,0.000000000,0.000000000,-0.934523932,-0.355900296,2,2,0,0,1,390.499797798897,-253.407688841754,389.93624791081,-253.075550039845,52.7490721657458,0.654144219645722
C9-C101_2,36.0807277,140.0807163,0,280.942209,28339.325404,44355.147099,-221.483408,0.000000000,0.000000000,-0.995444409,-0.095343741,2,2,0,0,1,390.499797798897,-253.407688841754,389.852499112656,-253.061826488337,52.7116326482984,0.73390486898522
C9-C101_3,36.0807287,140.0807099,0,276.883196,28338.748595,44355.256210,-221.481609,0.000000000,0.000000000,-0.998196507,-0.060031102,2,2,0,0,1,389.924025160801,-253.29636935045,389.457838981034,-253.049862058478,52.6742076468938,0.52734751274844
C9-C101_4,36.0807295,140.0807017,0,256.339263,28338.009731,44355.342610,-221.478933,0.000000000,0.000000000,-0.992902611,0.118930253,2,2,0,0,1,389.186316470638,-253.207313758357,388.656869823082,-252.944871275363,52.5741985819097,0.590922845630778
C9-C101_5,36.0807207,140.0806569,0,251.196544,28333.977736,44354.353263,-221.454137,0.000000000,0.000000000,-0.986567235,0.163355716,2,2,0,0,1,385.155908014197,-254.186925276921,384.696741611596,-253.916650536489,52.2965838630928,0.532805987760252
C9-C101_6,36.0807095,140.0806162,0,248.983463,28330.315891,44353.098803,-221.429137,0.000000000,0.000000000,-0.983228598,0.182377420,2,2,0,0,1,381.494353904115,-255.433703574138,380.86370990453,-255.064657055472,52.0033034747241,0.730689528563572
C9-C101_7,36.0806959,140.0805724,0,254.419622,28326.375687,44351.577154,-221.401040,0.000000000,0.000000000,-0.990771065,0.135545920,2,2,0,0,1,377.553909924453,-256.947648649218,377.033323661591,-256.362747588669,51.9622935494811,0.783019353344377
C9-C101_8,36.0806863,140.0805298,0,253.564281,28322.542131,44350.499681,-221.376518,0.000000000,0.000000000,-0.989731724,0.142937447,2,2,0,0,1,373.721423312836,-258.016315760666,373.11707297141,-257.55701107956,51.5164078133797,0.759078471087466
C9-C101_9,36.0806755,140.0804845,0,251.251846,28318.465815,44349.288282,-221.349987,0.000000000,0.000000000,-0.986645956,0.162879579,2,2,0,0,1,369.646032619283,-259.218566261045,369.244985586227,-258.810888104512,51.2922568100215,0.571874288666725
C9-C101_10,36.0806645,140.0804444,0,250.967053,28314.857935,44348.056193,-221.325393,0.000000000,0.000000000,-0.986238107,0.165331173,2,2,0,0,1,366.038457195781,-260.443080659844,365.406610641772,-259.960174925451,50.9517763927449,0.795253428865081
C9-C101_11,36.0806524,140.080401,0,251.366507,28310.953217,44346.701102,-221.298626,0.000000000,0.000000000,-0.986808440,0.161892254,2,2,0,0,1,362.133999003763,-261.790046498364,361.654988399263,-261.455896017544,50.6530639482273,0.584044264636779
C9-C101_12,36.0806409,140.0803588,0,243.818692,28307.156366,44345.412932,-221.272807,0.000000000,0.000000000,-0.974012925,0.226492431,2,2,0,0,1,358.337498182346,-263.070220642418,357.885138763776,-263.068898132917,50.1443418372856,0.452361351798108
C101,36.0806289,140.0803286,0,243.818692,28304.440539,44344.072743,-221.251419,0.000000000,0.000000000,-0.974012925,0.226492431,2,2,0,0,1,355.620571054163,-264.406054531729,355.346809204671,-264.078960117679,50.3494121320916,0.426539923031181
