label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C11,36.081627,140.0810126,0,12.692932,28365.690231,44455.016457,-222.298066,0.000000000,0.000000000,0.624609534,0.780937213,2,2,0,0,1,417.156271576123,-153.29807077132,416.839246960134,-153.634136977032,49.9841434486056,0.462001192384216
C11-C102_1,36.0816392,140.081016,0,7.285594,28365.992084,44456.371117,-222.308880,0.000000000,0.000000000,0.660751387,0.750604826,2,2,0,0,1,417.46215079155,-151.939972983591,417.263052114351,-152.054107931089,50.2147064621293,0.229493070707423
C11-C102_2,36.0816746,140.0810216,0,350.894020,28366.483757,44460.300620,-222.338545,0.000000000,0.000000000,-0.761006282,-0.648744509,2,2,0,0,1,417.965951846688,-147.999263009334,417.780571487829,-148.029291548544,50.2015808796263,0.187796673606167
C11-C102_3,36.0817104,140.0810145,0,4.153463,28365.831406,44464.270839,-222.363414,0.000000000,0.000000000,0.681018307,0.732266390,2,2,0,0,1,417.327204077659,-144.01402523903,417.284709496968,-144.038742541112,50.0441314907108,0.049160293024613
C11-C102_4,36.0817449,140.0810176,0,1.141620,28366.098228,44468.099758,-222.391382,0.000000000,0.000000000,0.700027246,0.714116135,2,2,0,0,1,417.606093949795,-140.173502806867,417.482320519448,-140.035500241057,50.0551022982662,0.185376833046314
C11-C102_5,36.0817814,140.0810185,0,12.530249,28366.166180,44472.149957,-222.420016,0.000000000,0.000000000,0.625717582,0.780049682,2,2,0,0,1,417.687061977107,-136.110341392889,417.592708913978,-136.024228146649,49.8827472054958,0.127741894849476
C11-C102_6,36.0818174,140.0810284,0,0.125829,28367.044933,44476.147277,-222.451885,0.000000000,0.000000000,0.706329906,0.707882804,2,2,0,0,1,418.577710272427,-132.102839724166,418.518328226035,-132.115197866213,49.7614317282695,0.060654357704573
C11-C102_7,36.0818542,140.0810285,0,357.956228,28367.040721,44480.230532,-222.480435,0.000000000,0.000000000,-0.719605095,-0.694383544,2,2,0,0,1,418.586706721895,-128.00628246335,418.595793717612,-128.026369586098,49.6414046642924,0.022046904351409
C11-C102_8,36.0818927,140.0810268,0,3.331231,28366.873774,44484.501894,-222.509580,0.000000000,0.000000000,0.686254982,0.727361051,2,2,0,0,1,418.433767114181,-123.720482067556,418.54779044492,-123.904632721088,49.3658867605896,0.216593589814571
C11-C102_9,36.0819288,140.0810294,0,0.000000,28367.094985,44488.508201,-222.538599,0.000000000,0.000000000,0.707106781,0.707106781,2,2,0,0,1,418.667674749207,-119.701848449624,418.738078121371,-119.816488407531,49.3136607796762,0.134532355814719
C102,36.0819504,140.0810294,0,0.000000,28367.087226,44490.904877,-222.555337,0.000000000,0.000000000,0.707106781,0.707106781,2,2,0,0,1,418.667674749207,-117.297347448865,418.724098794953,-117.478400580554,49.1714770400759,0.189641528766182
