label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C2,36.080597,140.0795222,0,195.208087,2,2,0,0,1,283.073218856111,-267.957146288402,283.229227400912,-263.341835653732,47.609834973648,4.61794661300339
C2-C3_1,36.080586,140.0795185,0,190.583097,2,2,0,0,1,282.740350302508,-269.1816606872,282.988343804649,-264.768067289699,47.5846401229781,4.4205551071745
C2-C3_2,36.0805488,140.0795099,0,182.233469,2,2,0,0,1,281.966655822145,-273.322745744854,282.132216796727,-268.703710875909,47.9127010602663,4.62200103384148
C2-C3_3,36.0805115,140.0795081,0,186.621350,2,2,0,0,1,281.804719767521,-277.474962750926,281.98250116992,-272.743986428341,48.2932058129683,4.73431549348913
C2-C3_4,36.0804746,140.0795028,0,199.941288,2,2,0,0,1,281.327908053116,-281.582651961742,281.335161894881,-276.707493147661,48.5413275415518,4.87516421064262
C2-C3_5,36.0804423,140.0794883,0,181.372690,2,2,0,0,1,280.023423171768,-285.178271513671,279.933618053601,-280.499849287145,48.4886981288911,4.67928407867067
C2-C3_6,36.0804052,140.0794872,0,187.692961,2,2,0,0,1,279.924462250634,-289.308224622115,279.744690347708,-284.51061694444,48.8117309470267,4.80097462667434
C2-C3_7,36.0803699,140.0794813,0,174.583645,2,2,0,0,1,279.393671852207,-293.237802647163,279.086241467472,-288.574609574933,48.8784076927127,4.67331606788459
C2-C3_8,36.0803341,140.0794855,0,182.876064,2,2,0,0,1,279.771522645478,-297.223040417466,279.326025129239,-292.688264706296,49.0251499332025,4.55660606017193
C2-C3_9,36.0802971,140.0794832,0,182.644180,2,2,0,0,1,279.564604353742,-301.341861577492,278.908582713549,-296.738814374058,49.2201527761822,4.64955997374378
C2-C3_10,36.0802621,140.0794812,0,188.065713,2,2,0,0,1,279.384675405296,-305.238043754911,278.629055146834,-300.794160146816,49.3229844015973,4.50766719016597
C2-C3_11,36.0802256,140.0794748,0,188.722707,2,2,0,0,1,278.8089027672,-309.30120516889,277.967802050248,-304.791564884619,49.5739296921834,4.58740731890934
C2-C3_12,36.0801882,140.0794677,0,185.131359,2,2,0,0,1,278.170154998172,-313.464554124962,277.084138053392,-308.715329816625,49.8320835065296,4.87181324921784
C2-C3_13,36.0801531,140.0794638,0,182.859238,2,2,0,0,1,277.81929354819,-317.371868251591,276.565992601563,-312.763903245865,49.8899550204216,4.77536435854042
C2-C3_14,36.0801175,140.0794616,0,186.312328,2,2,0,0,1,277.621371705923,-321.334842123476,276.195459861973,-316.748426386439,50.0441988345359,4.80296095129395
C2-C3_15,36.0800817,140.0794567,0,182.048073,2,2,0,0,1,277.180545779161,-325.32007989378,275.623081091146,-320.723616256283,50.2332332817883,4.85316126099723
C2-C3_16,36.0800478,140.0794552,0,186.261950,2,2,0,0,1,277.045599067827,-329.093810632268,275.291324426417,-324.759592148883,50.2005439946193,4.67578115176683
C2-C3_17,36.0800095,140.07945,0,186.006683,2,2,0,0,1,276.577783800333,-333.357347129644,274.72873120526,-328.778124625115,50.5970271979584,4.93844856663785
C2-C3_18,36.0799734,140.0794453,0,187.017090,2,2,0,0,1,276.154950772508,-337.375980746785,274.084442222401,-332.857072640834,50.6802584523795,4.97066757348488
C2-C3_19,36.0799386,140.07944,0,153.816657,2,2,0,0,1,275.678139058103,-341.249899026576,273.438004302644,-336.805796451257,50.7781640113385,4.9767711844699
C2-C3_20,36.07991,140.0794574,0,118.074658,2,2,0,0,1,277.243520912652,-344.433636463293,274.907621640956,-339.748630398235,51.2471891397658,5.23504605874124
C2-C3_21,36.0798928,140.0794973,0,120.374562,2,2,0,0,1,280.833103442332,-346.348331705166,278.375133052709,-341.78284210648,51.5173888715393,5.18510498562686
C3,36.0798739,140.0795372,0,120.374562,2,2,0,0,1,284.42268597457,-348.452270081225,281.821688581096,-343.744771903344,51.9616296058155,5.37826426792232
