label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C8,36.0812603,140.0803223,0,42.277279,0,0,0,0,1,355.053794865535,-194.118928045294,356.12186823225,-194.217788461783,46.3965046704847,1.07263884818374
C8-C13_1,36.0812611,140.0803232,0,76.100331,0,0,0,0,1,355.13476289029,-194.02987245241,355.366536038564,-194.354150360498,45.7576882114319,0.398591211562558
C8-C13_2,36.0812612,140.0803237,0,96.990681,0,0,0,0,1,355.179745127402,-194.0187405032,355.10199104336,-194.18146680146,45.7336579641207,0.180348400964925
C8-C13_3,36.0812568,140.0803681,0,91.881468,0,0,0,0,1,359.174167793643,-194.508546262878,359.080957646517,-194.758472332654,46.0759171910606,0.266741770034816
C8-C13_4,36.0812556,140.0804133,0,95.085736,0,0,0,0,1,363.240562040285,-194.642129651809,363.174147867549,-194.776474151311,46.6015736272245,0.149864228175539
C8-C13_5,36.0812525,140.0804564,0,93.834375,0,0,0,0,1,367.118030889014,-194.987220073346,367.173568910329,-195.149069088116,47.0479382816442,0.171112756373409
C8-C13_6,36.0812499,140.0805044,0,91.779872,0,0,0,0,1,371.436325661946,-195.276650749627,371.227045142077,-195.643488998668,47.1836075894597,0.422337112928129
C8-C13_7,36.0812488,140.0805482,0,95.297781,0,0,0,0,1,375.376769641608,-195.399102189348,375.270766626612,-195.573614703141,47.8041981515909,0.204184369280685
C8-C13_8,36.0812456,140.0805909,0,92.908966,0,0,0,0,1,379.218252702693,-195.755324560095,379.208696793044,-196.276980707655,47.9604841941726,0.52174366474001
C8-C13_9,36.0812436,140.0806396,0,92.399078,0,0,0,0,1,383.599522606559,-195.977963541119,383.178057575545,-196.854264972466,47.898397185945,0.97238725359185
C8-C13_10,36.0812421,140.0806839,0,98.198420,0,0,0,0,1,387.584948825889,-196.144942777678,387.229646302082,-197.380784390223,48.0327581161047,1.28590216374371
C8-C13_11,36.081237,140.0807277,0,91.300582,0,0,0,0,1,391.525392805551,-196.71267218024,391.005221344253,-198.711583816838,47.7185443239319,2.06548446619074
C8-C13_12,36.0812362,140.0807713,0,92.180305,0,0,0,0,1,395.447843891391,-196.801727773124,395.057320961713,-198.463372641152,48.4754702661118,1.70691881061943
C8-C13_13,36.0812348,140.0808168,0,90.605904,0,0,0,0,1,399.541227478766,-196.957575060474,398.935642021114,-199.615572409651,47.9284550095624,2.72611145310536
C8-C13_14,36.0812345,140.0808519,0,103.009981,0,0,0,0,1,402.69898053371,-196.990970907312,402.620738516367,-198.056925901307,49.8913394250266,1.06882265250223
C8-C13_15,36.0812269,140.0808926,0,87.800896,0,0,0,0,1,406.360534643792,-197.836999037735,406.640011401414,-198.204988136815,51.0893577200187,0.462085744307509
C8-C13_16,36.0812278,140.0809216,0,45.291534,0,0,0,0,1,408.969504401373,-197.736811495642,409.596738485162,-198.458665013735,51.2152281907666,0.956292370277408
C13,36.0812286,140.0809226,0,45.291534,0,0,0,0,1,409.059468875596,-197.647755903548,409.668012974891,-198.215202419869,51.34416802269,0.832058573461173
